1,1
1,3
1,5
1,6
1,8
1,9
1,13
1,15
2,1
2,3
2,6
2,8
2,9
2,13
3,2
3,3
3,4
3,6
3,8
3,13
4,2
4,5
4,6
4,13
4,14
5,1
5,4
5,6
5,7
5,9
5,13
6,1
6,2
6,4
6,6
6,7
6,9
6,13
7,2
7,3
7,4
7,6
7,8
7,13
7,14
8,1
8,2
8,4
8,6
8,8
8,9
8,12
8,14
8,15
9,1
9,2
9,4
9,5
9,8
9,13
10,1
10,3
10,4
10,5
10,6
10,8
10,9
10,13
10,14
11,1
11,2
11,3
11,4
11,6
11,9
11,13
12,3
12,4
12,5
12,6
12,8
12,9
12,13
12,14
13,1
13,4
13,6
13,8
13,13
14,1
14,8
14,13
15,2
15,3
15,5
15,6
15,7
15,10
15,13
16,2
16,4
16,6
16,8
16,9
16,13
16,14
16,15
17,1
17,4
17,5
17,6
17,8
18,1
18,8
18,9
18,11
18,13
19,1
19,2
19,3
19,4
19,6
19,8
19,9
19,13
19,14
20,1
20,2
20,3
20,6
20,8
20,10
20,11
20,13
21,1
21,2
21,6
21,9
21,13
22,5
22,6
22,8
22,9
22,13
22,14
23,1
23,2
23,3
23,5
23,6
23,8
23,9
23,13
24,1
24,2
24,4
24,6
24,9
24,10
24,13
25,4
25,5
25,6
25,7
25,8
25,9
25,10
25,13
25,15
26,1
26,3
26,6
26,8
26,9
26,14
27,1
27,2
27,3
27,5
27,6
27,9
27,13
27,14
28,1
28,2
28,3
28,5
28,6
28,8
28,9
28,13
29,2
29,3
29,4
29,6
29,8
29,9
29,13
30,3
30,6
30,8
30,13
30,14
31,2
31,4
31,6
31,8
31,10
31,11
31,13
31,14
32,1
32,2
32,4
32,5
32,8
32,12
32,13
32,14
33,1
33,4
33,5
33,6
33,8
33,12
33,13
33,14
34,1
34,2
34,6
34,8
34,10
34,13
35,1
35,2
35,8
35,9
35,13
36,1
36,2
36,3
36,4
36,8
36,9
36,13
37,1
37,2
37,3
37,4
37,5
37,8
37,9
37,13
37,15
38,1
38,2
38,4
38,8
38,9
38,10
38,13
39,1
39,2
39,4
39,8
39,9
39,13
39,14
40,1
40,2
40,3
40,4
40,8
40,13
40,14
41,1
41,2
41,4
41,6
41,8
41,9
41,11
41,13
42,1
42,2
42,3
42,4
42,5
42,8
42,9
42,11
42,13
42,14
43,1
43,2
43,3
43,5
43,6
43,8
43,9
43,10
43,12
43,13
43,14
44,1
44,2
44,3
44,4
44,6
44,8
44,9
44,13
44,14
45,1
45,2
45,3
45,4
45,5
45,6
45,8
45,9
45,13
46,1
46,2
46,3
46,4
46,6
46,9
46,13
47,2
47,4
47,5
47,6
47,13
47,14
48,1
48,3
48,4
48,5
48,6
48,8
48,10
48,13
49,1
49,3
49,4
49,6
49,8
49,9
49,13
49,14
50,1
50,3
50,4
50,6
50,8
50,9
50,13
51,1
51,4
51,5
51,6
51,9
51,13
52,2
52,6
52,8
52,13
53,1
53,2
53,3
53,4
53,6
53,10
53,13
54,1
54,2
54,3
54,4
54,5
54,6
54,8
54,9
54,13
55,1
55,2
55,4
55,6
55,8
55,9
55,11
55,13
55,14
56,4
56,5
56,6
56,9
56,10
56,13
56,14
57,1
57,2
57,3
57,4
57,6
57,8
57,9
57,10
57,11
57,13
57,14
58,1
58,2
58,4
58,5
58,14
59,1
59,2
59,3
59,4
59,6
59,8
59,9
59,13
59,14
60,1
60,2
60,3
60,5
60,8
60,9
60,13
61,1
61,3
61,4
61,6
61,8
61,9
61,13
61,14
62,1
62,2
62,4
62,6
62,7
62,8
62,9
62,13
63,1
63,4
63,6
63,8
63,9
63,13
64,2
64,4
64,6
64,9
65,1
65,2
65,3
65,4
65,5
65,6
65,9
65,13
66,2
66,6
66,9
66,13
67,1
67,3
67,4
67,6
67,9
67,13
67,14
68,1
68,2
68,3
68,4
68,5
68,6
68,9
68,13
69,1
69,2
69,8
69,9
69,13
70,1
70,2
70,3
70,4
70,6
70,8
70,13
70,14
71,2
71,3
71,4
71,6
71,9
71,14
72,1
72,4
72,6
72,13
73,1
73,2
73,3
73,4
73,13
73,14
74,2
74,4
74,5
74,9
74,13
74,14
75,1
75,2
75,4
75,6
75,7
75,8
75,9
75,13
75,14
76,2
76,3
76,5
76,8
76,9
76,13
76,14
77,2
77,4
77,5
77,6
77,8
77,9
77,13
77,14
78,2
78,3
78,4
78,6
78,8
78,9
78,10
78,13
79,1
79,2
79,4
79,6
79,10
79,13
80,1
80,2
80,4
80,9
80,12
80,13
80,14
81,1
81,4
81,6
81,9
81,13
81,14
82,1
82,2
82,4
82,6
82,9
82,10
82,13
83,1
83,2
83,3
83,4
83,6
83,8
83,13
83,15
84,1
84,2
84,4
84,6
84,9
84,11
84,13
85,1
85,2
85,4
85,6
85,9
85,13
86,1
86,4
86,6
86,7
86,8
86,9
86,13
86,15
87,1
87,3
87,5
87,6
87,8
87,9
87,13
88,1
88,2
88,5
88,6
88,8
88,9
88,10
88,13
89,1
89,2
89,6
89,8
89,9
89,12
89,13
89,14
90,1
90,4
90,6
90,8
90,13
90,14
